f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label,hand
0.0,0.0,0.0,-0.3083702736954087,-0.121810729623949,-0.0853122233174301,-0.4786114068057908,-0.3685451436030953,-0.108761902120745,-0.5464824329447692,-0.6068303677609096,-0.1223687029166183,-0.5985355276893267,-0.7936223420291882,-0.1091732582905047,-0.3415059652780955,-0.7155272045658972,-0.0236259188277968,-0.44938476853324,-0.6911789843290901,-0.0913922413260302,-0.3524243486188801,-0.4756069194997249,-0.118987107678127,-0.2947820622843242,-0.5145660440136198,-0.1399523617407582,-0.1815195317084039,-0.751044349784216,-0.0092132106597593,-0.2939483321497608,-0.7097242979377849,-0.0907665915581428,-0.2285813137501916,-0.4621716491705299,-0.0936955453389384,-0.1749241487901852,-0.5252206039881451,-0.086611266631729,-0.026392197300954,-0.7150504711145865,-0.0108641206537108,-0.1216481291053086,-0.7311040525180764,-0.0847708232071937,-0.1080482458748168,-0.4876594817056794,-0.0236569928459254,-0.059686665875234,-0.5257059906848786,0.0266902601468556,0.0967378503925575,-0.6585574565151238,-0.0231895305043998,0.0501930494552094,-0.6476259926870723,-0.0509780163671773,0.0174841842339536,-0.4876329182546144,-0.0091405738649925,0.0475948622074788,-0.5147876073440939,0.0259219717529753,A,left
0.0,0.0,0.0,-0.2834882237507841,-0.0948681022381278,-0.1077637090826728,-0.456046875789724,-0.3625742448723549,-0.1377828326940525,-0.5274104346662647,-0.6108986079777832,-0.1526950287076045,-0.5860935433235845,-0.7981841774355273,-0.1392708776664245,-0.3380113868165058,-0.6542265955455582,-0.0468652595065984,-0.4013046134333879,-0.7245802600408634,-0.1326433735792294,-0.3202861911858709,-0.4783815591806193,-0.1671861859417513,-0.2830756532744977,-0.5151604105702163,-0.1918841429729374,-0.1506621672292734,-0.690155098010508,-0.0195124730362331,-0.243657947341566,-0.7619809080749652,-0.1232123753810878,-0.1995998738825826,-0.4741504010679106,-0.1326312422426685,-0.1683629951535695,-0.521996392463959,-0.1235836021573415,0.0139477810152675,-0.678059577776633,-0.0103235419391996,-0.0707808345887513,-0.776641339467423,-0.0955377966744967,-0.0695603486074765,-0.5033076221007756,-0.0368311047776774,-0.0370061432711356,-0.526198666441999,0.0148859219352332,0.1346729606088374,-0.6619576705143805,-0.0121100256684602,0.0943080651252055,-0.6802564525429277,-0.0404421533419289,0.0638727999081622,-0.5081025985222178,0.0001971305228338,0.0882388257153962,-0.5333196034534009,0.0340336874566069,A,left
0.0,0.0,0.0,-0.2619352941354325,-0.0599351132647887,-0.1106867615885918,-0.454379842174421,-0.3290088473507809,-0.1363264492533931,-0.5372895361545503,-0.5935362843535524,-0.1488304862461596,-0.5972853686405322,-0.7912337002691423,-0.1311465591098176,-0.3472488577143091,-0.6378263695101934,-0.0378381865914603,-0.4076500674468179,-0.7370651657019847,-0.1341764591680788,-0.3200551647839038,-0.4827492601684331,-0.1701173783925813,-0.2831280496475583,-0.4965371100830366,-0.1906549178123446,-0.1745830499428262,-0.6777430326324425,-0.0171463765987189,-0.2467412918969388,-0.7809494367831693,-0.1273300803095666,-0.1957773343562051,-0.4828154397512444,-0.134805916004508,-0.1727575418466668,-0.5196440499639996,-0.1195394274655343,-0.0123847553932193,-0.6822577688255107,-0.0185951129177782,-0.0757341235705665,-0.8110519735547629,-0.1210149809855904,-0.0631634974678675,-0.5276353983993047,-0.0603679321221312,-0.0377874497128915,-0.5418446790235922,0.000283239500983,0.1250584437246206,-0.6795432046506941,-0.0315410620953856,0.092312436686478,-0.7419633284878749,-0.0769206361420538,0.0724362835677057,-0.5509228578353618,-0.032435612662921,0.0896932104255132,-0.5526711564182414,0.0105791401960211,A,left
0.0,0.0,0.0,-0.2665597513837378,-0.0560311201639497,-0.111420729441314,-0.4709054188765698,-0.3185932410981121,-0.1389216025573524,-0.5667256671846717,-0.5778998539990162,-0.1538096518046399,-0.617492370172435,-0.7744694741627449,-0.1374780214030961,-0.3668360256847877,-0.6310114180573779,-0.0381152364078238,-0.4267829277881749,-0.7409203623263421,-0.1346538775101471,-0.3361182578867465,-0.4839554287174922,-0.1667859458711,-0.3007019906273863,-0.4997216899866762,-0.184886850861678,-0.1896460700514768,-0.6779737013547519,-0.0178541883628872,-0.2645378956936298,-0.7831211688905215,-0.1313088682407695,-0.2090933199468343,-0.4805745147229905,-0.1375677009285303,-0.1867855414237095,-0.5242380616855051,-0.1202222077655167,-0.0246120444881588,-0.6889698182871209,-0.0199042634800516,-0.0909203093499823,-0.8120857767106902,-0.1235056386484133,-0.0753916940231021,-0.5239229558931244,-0.0607171065846464,-0.0506045419985089,-0.5456976219353379,0.0017815236243245,0.113435890926996,-0.691761993534438,-0.0335896981538781,0.0769681007170175,-0.7449653903045764,-0.0766186002992417,0.0592523966487321,-0.5534308798288463,-0.0307241191383999,0.0783130055927145,-0.5621013360783838,0.0128386506459831,A,left
0.0,0.0,0.0,-0.262496803898586,-0.0716479783896859,-0.1061673853560519,-0.4499228287219708,-0.337374314821896,-0.1336452916372797,-0.5319799257551975,-0.599289902755834,-0.1473175611580004,-0.5972650388431271,-0.7911533860621628,-0.1317224092479794,-0.3404214369649712,-0.6475653555026857,-0.0503458699095809,-0.4031006873307726,-0.747675326586749,-0.138503949827091,-0.3215169886920659,-0.490371681360524,-0.1662421234337922,-0.2842288303802271,-0.5072051202350181,-0.183437397205015,-0.1636905242188807,-0.6843389645045176,-0.0289350736902992,-0.241361737135539,-0.788608326803551,-0.1354947348433018,-0.1972334063333408,-0.489885905118074,-0.1404488191831093,-0.1715728246428646,-0.5255533253943624,-0.1252922258259014,-0.0016484253269728,-0.6806063918879093,-0.0261380380249139,-0.0685947759002591,-0.8121158144198688,-0.121162788460034,-0.0625941255168786,-0.5270932816855267,-0.056956733266494,-0.0335341959053862,-0.5391676551861209,0.0029845851912439,0.1301747865077762,-0.6723427668855874,-0.0340341600397814,0.095714640715127,-0.7294961767715027,-0.0719000259021344,0.0712503671693345,-0.5416401845989667,-0.0247879347803936,0.0910770736906463,-0.5485234624018548,0.0177827653310053,A,left
0.0,0.0,0.0,-0.2481827547231916,-0.0696821234495174,-0.1180539604740223,-0.4449061336339592,-0.3368337869791241,-0.149564705872443,-0.5332704516452363,-0.599496821286379,-0.1653746007619324,-0.5781455217455945,-0.8021417405178833,-0.1493866921932979,-0.332880739085622,-0.6506483588576114,-0.0580057684578908,-0.3975989433907188,-0.7518941339651039,-0.154743358143113,-0.3157392760212351,-0.4940867583200205,-0.1830674056369598,-0.2788011075361634,-0.5070917687918107,-0.1986754260829871,-0.1557628494185587,-0.6838704642853235,-0.0344837891747162,-0.2309693380456027,-0.7859294032386517,-0.150886399679168,-0.1871691713106638,-0.4823585394097135,-0.1544702589743503,-0.1608796974962374,-0.5196749594577649,-0.1355505432249734,0.0070032649767043,-0.6796323524593955,-0.0325721190604302,-0.0510201727177717,-0.8023569412325978,-0.1404955112839596,-0.0482953972062083,-0.5176622386627823,-0.0758516260395937,-0.0216903836935196,-0.5372891819654688,-0.0117562719178525,0.1444183831119961,-0.669802542716981,-0.0423096660347695,0.1133364025833768,-0.7267944252472635,-0.091318682316026,0.0880749632670546,-0.5365463214206059,-0.0468207395034412,0.105738805162456,-0.544141058300329,-0.0037190429227759,A,left
0.0,0.0,0.0,-0.2588273693780445,-0.0726460202453699,-0.1134441707998634,-0.4494449080316002,-0.3390380064251654,-0.1423841006109736,-0.5351549909303553,-0.6021997596065919,-0.1551896940444816,-0.5888584754645406,-0.7965843250416943,-0.1367446853499075,-0.348231084238754,-0.6409291943053872,-0.0555655084171857,-0.4038770563002767,-0.7529583151354832,-0.1428116092925441,-0.3235717162601333,-0.4876256034560524,-0.1657650858008274,-0.2899108287947196,-0.5045551624803204,-0.1801605998946093,-0.1683840739348375,-0.67959481210093,-0.0290424386717936,-0.2420283498202951,-0.7819720836864655,-0.1376024738517649,-0.2009903144325001,-0.4765364210582999,-0.1399925809945605,-0.1800336182469859,-0.5158750758065279,-0.1223262757313921,-0.0056176093588373,-0.6778594873708294,-0.0220051218126912,-0.069113598605629,-0.7993274833282225,-0.1190005595164784,-0.0640295545188436,-0.5151479074839672,-0.0539393948019791,-0.0368896138252573,-0.5364440278058372,0.0070311391195129,0.126504042845442,-0.6728253775894558,-0.0260540598316175,0.0907562457883315,-0.718413246089759,-0.065407160485617,0.0700012239311403,-0.5317908823373044,-0.0202508665730834,0.0918388731858392,-0.5473306749389666,0.0208040579635382,A,left
0.0,0.0,0.0,-0.2732157933709231,-0.0869065875349307,-0.0956481582711961,-0.462878395530783,-0.3559286608499522,-0.1183941022092321,-0.5412132421876157,-0.6136057055654882,-0.1292911318477914,-0.5871938699157345,-0.8019920249187571,-0.1095999593982358,-0.3432463546664592,-0.6709816057924753,-0.0394900143872177,-0.4233656276712382,-0.7564951867021618,-0.124465962261656,-0.3437268530928704,-0.4924073275933333,-0.1480506598098706,-0.3037794425928139,-0.5222726085543716,-0.1631288485294859,-0.165383170257271,-0.7013088454004582,-0.0208771916863444,-0.2593881895683129,-0.7901856958893494,-0.1278051246424123,-0.2158366020588236,-0.4835944598793329,-0.1283557368945724,-0.1845199525632144,-0.528746282673311,-0.1091144763491647,-0.0037981316253905,-0.6916144056876814,-0.0203895077241044,-0.0867029790693099,-0.8014240933311929,-0.1128805884589825,-0.0820204231713788,-0.5110907080736243,-0.0449228279879402,-0.045120338079736,-0.5356233341241943,0.0174689944895827,0.1278204800296637,-0.6805209256936209,-0.0298168673094754,0.0784732916372278,-0.7169117702155374,-0.0614878055456487,0.0537956384360378,-0.5319655124274293,-0.0127781054818063,0.0832640145325199,-0.5562355098860292,0.0298608864094015,A,left
0.0,0.0,0.0,-0.2609665333105885,-0.0953102467408522,-0.0742883299437133,-0.4341573842894071,-0.3873257870621897,-0.0843892755772936,-0.4905369581768527,-0.6596133135493505,-0.0867105584024056,-0.540542182188993,-0.8390819978112996,-0.0612825441978352,-0.2953071815936759,-0.6902051543816193,-0.0271210695347992,-0.390282195530617,-0.7782255992081621,-0.1074798415472447,-0.3175729547801063,-0.5113335965536242,-0.1277032027175949,-0.2627683256554579,-0.5076398774593602,-0.1372777298382865,-0.1264788357938781,-0.7068630000517196,-0.0186355574164216,-0.2285073987338884,-0.8065671030688187,-0.1153610245270209,-0.1911639871457608,-0.4993608364593609,-0.1092757555613842,-0.1454596858002327,-0.510498985558182,-0.0852378965943088,0.0312133763347775,-0.6881906224484295,-0.0267715257947658,-0.0603197349995481,-0.817238456723583,-0.1145159794945331,-0.0628470813087944,-0.5169015514209909,-0.0428452543366583,-0.0150718160550695,-0.5075373145841489,0.0229004458510781,0.1726247397374775,-0.6673184055337021,-0.043279008663404,0.1022675030881554,-0.7216682198121623,-0.0764491413379117,0.0692214311840998,-0.5278792500829366,-0.0246350552384975,0.1029673043655252,-0.5291252322612678,0.0220521222496058,A,left
0.0,0.0,0.0,-0.2310631849597633,-0.0487107920430821,-0.0621164588564708,-0.4148911947926023,-0.3712827238333681,-0.06725735316095,-0.4597213482648705,-0.6808438333211534,-0.0685117194793718,-0.4861148512265827,-0.8727163548221814,-0.0453708655729849,-0.2576840954638741,-0.7053751506599583,-0.0214379192285422,-0.3649288172298504,-0.8092126177424254,-0.1224494560994304,-0.3136837453743967,-0.5343527416889188,-0.1547711095500212,-0.2536011292917108,-0.4842483248446476,-0.1653370144022181,-0.0921072892697942,-0.7119858855059514,-0.023212726351906,-0.2036110191018373,-0.8234868420752823,-0.1323148408193633,-0.173274177716688,-0.5003911253623138,-0.12268003631466,-0.1148914510999273,-0.4835429515026372,-0.0898762345622692,0.0671614294438387,-0.6896464103228841,-0.0446790759430362,-0.0357237233385945,-0.8311901218532338,-0.1560137121100362,-0.0437251891464249,-0.5028549884171241,-0.0841401475882889,0.0098542464528442,-0.4644843666847155,-0.0098465778803977,0.2240928905743043,-0.665185389165001,-0.0724602803785142,0.1197046294018708,-0.7298314693288948,-0.1334934322557988,0.0883139481860941,-0.5077739124320493,-0.0881290413733975,0.1291891878775178,-0.4829810643618221,-0.0387213125850612,A,left
